student_id,subject_code,attendance,internal_marks,external_marks,assignment_score,grade
25CS017,CS201,77,26,62,88,A
25CS017,CS202,80,25,58,83,A
25CS017,CS203,90,25,58,83,A
25CS017,CS204,85,26,60,86,A
25CS017,MA201,85,27,64,91,A+
25CS018,CS201,68,21,49,70,B+
25CS018,CS202,69,23,53,75,B+
25CS018,CS203,62,21,50,71,B+
25CS018,CS204,74,20,47,67,B
25CS018,MA201,68,18,42,61,B
25CS019,CS201,74,18,43,61,B
25CS019,CS202,78,18,41,59,C
25CS019,CS203,72,18,43,62,B
25CS019,CS204,83,22,51,73,B+
25CS019,MA201,84,18,43,61,B
25CS020,CS201,72,24,56,81,A
25CS020,CS202,77,20,48,68,B
25CS020,CS203,72,22,52,74,B+
25CS020,CS204,83,22,52,74,B+
25CS020,MA201,76,22,52,74,B+
25CS021,CS201,40,16,38,54,C
25CS021,CS202,54,13,31,44,D
25CS021,CS203,45,12,28,39,D
25CS021,CS204,49,11,25,36,F
25CS021,MA201,47,13,31,45,D
25CS022,CS201,94,25,58,83,A
25CS022,CS202,79,28,66,94,A+
25CS022,CS203,92,24,56,80,A
25CS022,CS204,87,27,64,91,A+
25CS022,MA201,91,25,59,84,A
25CS023,CS201,94,26,61,87,A
25CS023,CS202,88,28,65,93,A+
25CS023,CS203,91,26,61,87,A
25CS023,CS204,98,28,66,95,A+
25CS023,MA201,90,29,69,98,A+
25CS024,CS201,37,12,28,41,D
25CS024,CS202,37,14,32,46,D
25CS024,CS203,44,15,34,49,D
25CS024,CS204,45,16,37,53,C
25CS024,MA201,40,15,35,50,C
25CS025,CS201,93,25,58,83,A
25CS025,CS202,82,22,51,73,B+
25CS025,CS203,91,27,62,89,A
25CS025,CS204,97,25,57,82,A
25CS025,MA201,97,23,53,75,B+
25CS026,CS201,68,21,49,70,B+
25CS026,CS202,67,24,55,79,B+
25CS026,CS203,74,25,59,84,A
25CS026,CS204,73,24,57,81,A
25CS026,MA201,67,23,54,77,B+
25CS027,CS201,68,20,47,67,B
25CS027,CS202,71,24,55,79,B+
25CS027,CS203,77,23,53,75,B+
25CS027,CS204,68,21,50,71,B+
25CS027,MA201,76,24,55,79,B+
25CS028,CS201,83,29,67,95,A+
25CS028,CS202,91,25,59,84,A
25CS028,CS203,88,25,59,84,A
25CS028,CS204,83,24,57,81,A
25CS028,MA201,79,25,59,85,A
25CS029,CS201,100,23,54,77,B+
25CS029,CS202,93,24,55,79,B+
25CS029,CS203,95,24,55,79,B+
25CS029,CS204,100,26,62,88,A
25CS029,MA201,90,25,59,85,A
25CS030,CS201,57,10,24,35,F
25CS030,CS202,51,15,35,50,C
25CS030,CS203,56,12,28,41,D
25CS030,CS204,51,15,35,49,C
25CS030,MA201,55,15,34,48,D
25CS031,CS201,69,23,53,76,B+
25CS031,CS202,67,23,54,77,B+
25CS031,CS203,65,25,59,84,A
25CS031,CS204,67,23,53,76,B+
25CS031,MA201,66,25,58,83,A
25CS032,CS201,56,12,29,41,D
25CS032,CS202,53,12,28,40,D
25CS032,CS203,62,10,24,35,F
25CS032,CS204,58,11,26,37,F
25CS032,MA201,55,10,24,35,F
25CS033,CS201,90,28,66,95,A+
25CS033,CS202,90,28,65,93,A+
25CS033,CS203,82,25,58,83,A
25CS033,CS204,87,29,67,96,A+
25CS033,MA201,80,25,59,84,A
25CS034,CS201,100,29,69,98,A+
25CS034,CS202,100,27,63,91,A+
25CS034,CS203,98,29,69,98,A+
25CS034,CS204,98,27,62,89,A
25CS034,MA201,97,27,64,91,A+
25CS035,CS201,64,12,29,42,D
25CS035,CS202,55,11,27,38,F
25CS035,CS203,61,13,31,44,D
25CS035,CS204,63,12,27,39,F
25CS035,MA201,52,11,26,37,F
25CS036,CS201,35,14,32,46,D
25CS036,CS202,45,14,33,48,D
25CS036,CS203,36,16,37,53,C
25CS036,CS204,39,13,31,45,D
25CS036,MA201,35,17,39,56,C
25CS037,CS201,78,26,60,86,A
25CS037,CS202,83,25,59,84,A
25CS037,CS203,77,27,64,92,A+
25CS037,CS204,81,24,57,82,A
25CS037,MA201,81,28,64,92,A+
25CS038,CS201,82,28,65,94,A+
25CS038,CS202,93,27,63,89,A+
25CS038,CS203,86,28,65,92,A+
25CS038,CS204,90,27,64,91,A+
25CS038,MA201,81,24,56,80,A
25CS039,CS201,77,28,65,93,A+
25CS039,CS202,84,24,56,80,A
25CS039,CS203,90,25,59,85,A
25CS039,CS204,78,28,64,92,A+
25CS039,MA201,88,24,56,80,A
25CS040,CS201,35,11,26,37,F
25CS040,CS202,35,13,30,43,D
25CS040,CS203,35,10,24,35,F
25CS040,CS204,35,14,32,46,D
25CS040,MA201,35,10,24,35,F
25CS041,CS201,75,22,52,75,B+
25CS041,CS202,79,19,45,65,B
25CS041,CS203,75,21,50,72,B+
25CS041,CS204,68,23,54,78,B+
25CS041,MA201,78,19,45,65,B
25CS042,CS201,41,10,24,35,F
25CS042,CS202,46,10,24,35,F
25CS042,CS203,42,14,33,47,D
25CS042,CS204,43,12,28,39,D
25CS042,MA201,35,10,24,35,F
25CS043,CS201,100,27,64,91,A+
25CS043,CS202,90,27,64,91,A+
25CS043,CS203,100,25,59,84,A
25CS043,CS204,100,27,64,91,A+
25CS043,MA201,98,27,64,91,A+
25CS044,CS201,95,24,55,79,B+
25CS044,CS202,93,23,53,76,B+
25CS044,CS203,90,24,57,81,A
25CS044,CS204,100,26,60,86,A
25CS044,MA201,97,24,56,80,A
25CS045,CS201,91,29,68,97,A+
25CS045,CS202,82,29,68,97,A+
25CS045,CS203,78,28,65,93,A+
25CS045,CS204,92,29,67,96,A+
25CS045,MA201,78,29,69,98,A+
25CS046,CS201,75,26,60,86,A
25CS046,CS202,88,27,62,89,A
25CS046,CS203,76,26,62,88,A
25CS046,CS204,88,28,65,93,A+
25CS046,MA201,78,29,69,98,A+
25CS047,CS201,100,26,60,85,A
25CS047,CS202,100,28,65,93,A+
25CS047,CS203,90,28,65,93,A+
25CS047,CS204,100,28,64,92,A+
25CS047,MA201,90,28,66,95,A+
25CS048,CS201,86,29,69,98,A+
25CS048,CS202,89,27,63,89,A+
25CS048,CS203,77,29,69,98,A+
25CS048,CS204,79,26,60,85,A
25CS048,MA201,88,29,69,98,A+
25CS049,CS201,71,24,56,80,A
25CS049,CS202,72,24,57,81,A
25CS049,CS203,85,18,43,62,B
25CS049,CS204,83,19,45,65,B
25CS049,MA201,74,23,53,76,B+
25CS050,CS201,74,22,51,73,B+
25CS050,CS202,73,22,52,75,B+
25CS050,CS203,73,22,51,73,B+
25CS050,CS204,65,24,55,79,B+
25CS050,MA201,72,20,48,68,B
25CS051,CS201,72,20,48,68,B
25CS051,CS202,67,22,52,74,B+
25CS051,CS203,60,23,54,77,B+
25CS051,CS204,74,21,50,71,B+
25CS051,MA201,73,20,48,68,B
25CS052,CS201,84,26,60,85,A
25CS052,CS202,88,25,58,83,A
25CS052,CS203,83,29,69,98,A+
25CS052,CS204,80,24,57,81,A
25CS052,MA201,90,28,65,93,A+
25CS053,CS201,90,26,61,87,A
25CS053,CS202,92,25,59,84,A
25CS053,CS203,91,27,63,91,A+
25CS053,CS204,91,26,61,87,A
25CS053,MA201,91,27,63,90,A+
25CS054,CS201,38,11,26,37,F
25CS054,CS202,35,10,24,35,F
25CS054,CS203,40,10,24,35,F
25CS054,CS204,41,11,27,38,F
25CS054,MA201,41,10,24,35,F
25CS055,CS201,80,29,68,97,A+
25CS055,CS202,92,25,57,82,A
25CS055,CS203,85,25,58,83,A
25CS055,CS204,81,27,63,90,A+
25CS055,MA201,89,27,62,89,A
25CS056,CS201,83,29,69,98,A+
25CS056,CS202,94,29,69,98,A+
25CS056,CS203,92,29,69,98,A+
25CS056,CS204,95,26,61,87,A
25CS056,MA201,94,26,62,88,A
25CS057,CS201,92,25,58,83,A
25CS057,CS202,84,25,59,84,A
25CS057,CS203,81,28,66,94,A+
25CS057,CS204,78,27,63,90,A+
25CS057,MA201,90,27,63,89,A+
25CS058,CS201,89,26,60,86,A
25CS058,CS202,93,25,58,82,A
25CS058,CS203,87,29,68,97,A+
25CS058,CS204,96,24,56,80,A
25CS058,MA201,91,24,56,79,A
25CS059,CS201,72,22,51,72,B+
25CS059,CS202,61,23,54,76,B+
25CS059,CS203,66,23,53,75,B+
25CS059,CS204,66,21,48,69,B
25CS059,MA201,70,20,46,65,B
25CS060,CS201,81,24,55,79,B+
25CS060,CS202,87,28,65,94,A+
25CS060,CS203,84,27,62,89,A
25CS060,CS204,96,28,65,93,A+
25CS060,MA201,87,25,58,82,A
25CS061,CS201,75,22,52,74,B+
25CS061,CS202,77,21,49,70,B+
25CS061,CS203,79,21,48,69,B
25CS061,CS204,79,22,51,73,B+
25CS061,MA201,83,22,50,72,B+
25CS062,CS201,100,26,61,87,A
25CS062,CS202,99,27,63,90,A+
25CS062,CS203,100,24,55,78,B+
25CS062,CS204,90,25,58,83,A
25CS062,MA201,96,26,61,87,A
25CS063,CS201,87,25,58,83,A
25CS063,CS202,100,25,58,83,A
25CS063,CS203,93,25,59,84,A
25CS063,CS204,99,27,62,89,A
25CS063,MA201,94,26,61,87,A
25CS064,CS201,83,23,54,78,B+
25CS064,CS202,88,28,64,92,A+
25CS064,CS203,88,25,57,82,A
25CS064,CS204,84,23,53,76,B+
25CS064,MA201,88,23,53,76,B+
25CS065,CS201,89,26,61,87,A
25CS065,CS202,90,29,67,95,A+
25CS065,CS203,89,28,64,92,A+
25CS065,CS204,100,24,55,79,B+
25CS065,MA201,95,23,55,78,B+
25CS066,CS201,82,22,52,75,B+
25CS066,CS202,94,25,59,84,A
25CS066,CS203,79,26,61,87,A
25CS066,CS204,93,26,61,88,A
25CS066,MA201,78,22,52,75,B+
25CS067,CS201,48,10,24,35,F
25CS067,CS202,51,14,32,46,D
25CS067,CS203,44,10,24,35,F
25CS067,CS204,48,14,33,47,D
25CS067,MA201,40,10,24,35,F
25CS068,CS201,81,26,61,88,A
25CS068,CS202,85,24,57,81,A
25CS068,CS203,94,25,58,82,A
25CS068,CS204,89,25,58,83,A
25CS068,MA201,90,24,55,79,B+
25CS069,CS201,80,22,52,75,B+
25CS069,CS202,75,26,60,86,A
25CS069,CS203,75,22,50,72,B+
25CS069,CS204,70,24,55,79,B+
25CS069,MA201,69,20,47,68,B
25CS070,CS201,86,26,61,88,A
25CS070,CS202,89,24,57,81,A
25CS070,CS203,74,28,66,94,A+
25CS070,CS204,76,27,63,90,A+
25CS070,MA201,87,28,65,93,A+
25CS071,CS201,35,16,37,52,C
25CS071,CS202,35,18,41,59,C
25CS071,CS203,35,14,32,46,D
25CS071,CS204,36,14,32,46,D
25CS071,MA201,35,16,38,55,C
25CS072,CS201,91,28,66,95,A+
25CS072,CS202,84,24,56,80,A
25CS072,CS203,93,23,54,77,B+
25CS072,CS204,89,27,62,89,A
25CS072,MA201,95,29,67,95,A+
25CS073,CS201,95,22,52,75,B+
25CS073,CS202,93,25,58,83,A
25CS073,CS203,98,26,60,85,A
25CS073,CS204,96,24,55,79,B+
25CS073,MA201,90,26,61,87,A
25CS074,CS201,35,12,27,39,F
25CS074,CS202,35,10,24,35,F
25CS074,CS203,35,10,24,35,F
25CS074,CS204,35,11,25,36,F
25CS074,MA201,35,14,34,48,D
25CS075,CS201,74,20,47,67,B
25CS075,CS202,72,25,58,82,A
25CS075,CS203,78,23,53,76,B+
25CS075,CS204,75,23,54,78,B+
25CS075,MA201,76,23,53,75,B+
25CS076,CS201,45,10,24,35,F
25CS076,CS202,42,13,30,43,D
25CS076,CS203,35,10,24,35,F
25CS076,CS204,37,10,24,35,F
25CS076,MA201,37,13,29,42,D
25CS077,CS201,71,20,47,68,B
25CS077,CS202,63,18,42,61,B
25CS077,CS203,70,21,49,69,B+
25CS077,CS204,69,19,44,62,B
25CS077,MA201,63,19,45,64,B
25CS078,CS201,61,11,26,38,F
25CS078,CS202,63,10,24,35,F
25CS078,CS203,47,10,24,35,F
25CS078,CS204,49,12,27,38,F
25CS078,MA201,57,13,31,44,D
25CS079,CS201,90,28,65,93,A+
25CS079,CS202,100,29,69,98,A+
25CS079,CS203,97,29,69,98,A+
25CS079,CS204,95,29,69,98,A+
25CS079,MA201,95,27,63,90,A+
25CS080,CS201,69,20,47,68,B
25CS080,CS202,64,19,45,64,B
25CS080,CS203,73,20,48,68,B
25CS080,CS204,69,22,50,72,B+
25CS080,MA201,62,21,49,70,B+
25CS081,CS201,35,13,29,42,D
25CS081,CS202,36,12,28,40,D
25CS081,CS203,35,11,26,37,F
25CS081,CS204,35,10,24,35,F
25CS081,MA201,35,10,24,35,F
25CS082,CS201,75,25,58,82,A
25CS082,CS202,73,23,53,75,B+
25CS082,CS203,76,25,58,83,A
25CS082,CS204,67,22,51,72,B+
25CS082,MA201,69,23,53,76,B+
25CS083,CS201,94,29,67,96,A+
25CS083,CS202,99,25,58,82,A
25CS083,CS203,100,29,67,96,A+
25CS083,CS204,96,25,58,83,A
25CS083,MA201,97,28,65,93,A+
25CS084,CS201,87,27,63,90,A+
25CS084,CS202,81,28,66,95,A+
25CS084,CS203,80,29,68,97,A+
25CS084,CS204,75,29,69,98,A+
25CS084,MA201,89,29,69,98,A+
25CS085,CS201,37,13,30,43,D
25CS085,CS202,40,15,35,51,C
25CS085,CS203,35,15,35,50,C
25CS085,CS204,44,14,33,47,D
25CS085,MA201,35,14,33,47,D
25CS086,CS201,48,11,25,35,F
25CS086,CS202,45,13,31,44,D
25CS086,CS203,53,10,24,35,F
25CS086,CS204,56,13,29,42,D
25CS086,MA201,57,15,34,49,D
25CS087,CS201,100,25,59,84,A
25CS087,CS202,100,26,61,87,A
25CS087,CS203,91,22,52,75,B+
25CS087,CS204,96,26,60,86,A
25CS087,MA201,100,23,53,76,B+
25CS088,CS201,59,21,49,69,B+
25CS088,CS202,70,23,54,77,B+
25CS088,CS203,68,23,54,77,B+
25CS088,CS204,71,18,42,60,B
25CS088,MA201,61,19,44,63,B
25CS089,CS201,60,17,39,56,C
25CS089,CS202,51,15,35,50,C
25CS089,CS203,56,15,35,50,C
25CS089,CS204,60,13,31,44,D
25CS089,MA201,44,15,35,50,C
25CS090,CS201,89,27,63,90,A+
25CS090,CS202,82,25,59,84,A
25CS090,CS203,84,27,62,88,A
25CS090,CS204,90,27,63,91,A+
25CS090,MA201,86,28,64,92,A+
25CS091,CS201,73,22,52,74,B+
25CS091,CS202,76,24,55,79,B+
25CS091,CS203,76,21,50,71,B+
25CS091,CS204,71,20,46,65,B
25CS091,MA201,65,19,45,65,B
25CS092,CS201,46,17,40,57,C
25CS092,CS202,41,19,44,63,B
25CS092,CS203,43,16,38,55,C
25CS092,CS204,41,15,36,51,C
25CS092,MA201,49,19,44,63,B
25CS093,CS201,83,29,69,98,A+
25CS093,CS202,81,26,61,87,A
25CS093,CS203,89,27,63,91,A+
25CS093,CS204,82,28,64,92,A+
25CS093,MA201,89,27,63,91,A+
25CS094,CS201,89,26,60,86,A
25CS094,CS202,85,28,65,93,A+
25CS094,CS203,88,27,62,89,A
25CS094,CS204,89,27,63,91,A+
25CS094,MA201,91,28,66,95,A+
25CS095,CS201,100,26,60,86,A
25CS095,CS202,99,26,61,88,A
25CS095,CS203,100,26,61,87,A
25CS095,CS204,100,25,58,83,A
25CS095,MA201,100,26,62,88,A
25CS096,CS201,90,29,69,98,A+
25CS096,CS202,83,29,69,98,A+
25CS096,CS203,91,27,62,89,A
25CS096,CS204,90,27,62,89,A
25CS096,MA201,92,29,69,98,A+
25CS097,CS201,100,25,59,85,A
25CS097,CS202,93,27,62,89,A
25CS097,CS203,100,24,57,81,A
25CS097,CS204,94,26,62,88,A
25CS097,MA201,100,25,58,83,A
25CS098,CS201,91,25,59,84,A
25CS098,CS202,100,27,63,90,A+
25CS098,CS203,97,29,68,97,A+
25CS098,CS204,100,24,56,80,A
25CS098,MA201,98,29,68,97,A+
25CS099,CS201,91,29,69,98,A+
25CS099,CS202,88,29,69,98,A+
25CS099,CS203,88,29,69,98,A+
25CS099,CS204,89,29,67,96,A+
25CS099,MA201,77,29,68,97,A+
25CS100,CS201,52,13,30,43,D
25CS100,CS202,53,12,29,41,D
25CS100,CS203,54,12,28,40,D
25CS100,CS204,59,14,34,48,D
25CS100,MA201,60,14,34,48,D
